time,open,high,low,close,volume
2026-01-04 14:19:00,134.61,134.64,134.58,134.59,622.244
2026-01-04 14:20:00,134.6,134.66,134.59,134.63,706.428
2026-01-04 14:21:00,134.64,134.69,134.63,134.66,1078.999
2026-01-04 14:22:00,134.65,134.66,134.61,134.62,367.441
2026-01-04 14:23:00,134.62,134.65,134.52,134.61,1414.987
2026-01-04 14:24:00,134.61,134.65,134.59,134.59,334.006
2026-01-04 14:25:00,134.59,134.6,134.47,134.47,1889.51
2026-01-04 14:26:00,134.47,134.47,134.25,134.41,12608.478
2026-01-04 14:27:00,134.41,134.47,134.38,134.47,623.064
2026-01-04 14:28:00,134.47,134.47,134.42,134.45,347.634
2026-01-04 14:29:00,134.45,134.47,134.44,134.46,2492.042
2026-01-04 14:30:00,134.46,134.57,134.46,134.57,1155.193
2026-01-04 14:31:00,134.56,134.63,134.56,134.61,251.432
2026-01-04 14:32:00,134.62,134.71,134.6,134.6,1072.838
2026-01-04 14:33:00,134.6,134.6,134.43,134.43,612.209
2026-01-04 14:34:00,134.43,134.48,134.34,134.37,1053.844
2026-01-04 14:35:00,134.37,134.5,134.36,134.45,530.768
2026-01-04 14:36:00,134.46,134.51,134.45,134.5,660.711
2026-01-04 14:37:00,134.51,134.71,134.51,134.63,689.03
2026-01-04 14:38:00,134.62,134.69,134.62,134.68,441.393
2026-01-04 14:39:00,134.67,134.68,134.61,134.66,362.474
2026-01-04 14:40:00,134.66,134.66,134.59,134.59,212.933
2026-01-04 14:41:00,134.59,134.65,134.48,134.59,3377.744
2026-01-04 14:42:00,134.59,134.66,134.58,134.63,1112.647
2026-01-04 14:43:00,134.63,134.63,134.56,134.6,713.742
2026-01-04 14:44:00,134.61,134.69,134.61,134.68,748.961
2026-01-04 14:45:00,134.68,134.68,134.57,134.6,1209.657
2026-01-04 14:46:00,134.6,134.6,134.52,134.58,706.603
2026-01-04 14:47:00,134.57,134.7,134.53,134.69,562.684
2026-01-04 14:48:00,134.7,134.78,134.7,134.78,940.403
2026-01-04 14:49:00,134.77,134.81,134.77,134.78,936.495
2026-01-04 14:50:00,134.78,134.91,134.75,134.87,2949.147
2026-01-04 14:51:00,134.87,134.87,134.77,134.79,1234.897
2026-01-04 14:52:00,134.8,134.88,134.79,134.82,721.28
2026-01-04 14:53:00,134.82,134.88,134.81,134.87,314.418
2026-01-04 14:54:00,134.88,134.97,134.87,134.93,728.183
2026-01-04 14:55:00,134.93,134.96,134.86,134.96,908.58
2026-01-04 14:56:00,134.95,135.0,134.95,134.99,4906.443
2026-01-04 14:57:00,134.99,134.99,134.96,134.97,1258.318
2026-01-04 14:58:00,134.97,134.97,134.91,134.91,2907.884
2026-01-04 14:59:00,134.92,134.97,134.92,134.96,790.426
2026-01-04 15:00:00,134.97,134.97,134.9,134.92,1298.709
2026-01-04 15:01:00,134.92,135.32,134.92,135.22,14961.908
